"","vm1r","vm2r","vm1c","vm2c","rt","thr","activedurationvm1","avm1","bwrxvm1","bwtxvm1","uvm1","memcommitedvm1","memresidentvm1","netusagerxvm1","netusagetxvm1","qvm1","quvm1","queuestatusvm1","stealvm1","activedurationvm2","avm2","bwrxvm2","bwtxvm2","uvm2","memcommitedvm2","memresidentvm2","netusagerxvm2","netusagetxvm2","qvm2","quvm2","queuestatusvm2","stealvm2"
84,10,10,100,10,5431.00,29.00,1.00,0.27,14426565.62,14530521.12,0.03,19.36,0.00,109.79,110.58,19467.08,0.16,0.04,0.00,3.75,1.00,11364065.00,11447283.79,0.28,23.14,0.00,86.43,87.07,135.00,0.01,0.01,0.03
85,10,10,100,10,5204.16,27.08,0.98,0.29,15549465.84,15387647.27,0.03,18.73,0.00,120.22,119.53,26904.01,0.18,-0.01,0.07,2.75,0.83,13611023.88,13613788.64,0.24,22.63,0.00,106.53,105.29,144.31,0.01,0.02,0.03
86,10,10,100,10,5433.00,28.00,1.00,0.30,16030974.48,16149415.30,0.03,19.43,0.00,121.93,122.81,27620.25,0.18,-0.01,0.07,2.79,0.87,14188259.57,14294046.82,0.25,23.38,0.00,107.96,108.82,151.40,0.01,0.02,0.03
87,10,10,100,50,5157.58,28.29,0.98,0.32,2980424.58,2978708.77,0.03,19.22,0.00,22.05,21.84,142949.48,0.28,0.11,0.00,0.99,0.41,2226865.91,2287780.12,0.04,22.46,0.00,16.92,17.05,74934.12,0.27,0.09,0.10
88,10,10,100,50,5201.00,29.00,1.00,0.32,3018064.93,3037691.03,0.03,19.50,0.00,22.72,22.86,147370.42,0.28,0.11,0.00,1.00,0.42,2301596.32,2315636.87,0.04,23.47,0.00,17.32,17.42,75084.37,0.28,0.09,0.11
89,10,10,100,50,5181.61,27.79,1.00,0.32,5880882.98,6080136.80,0.03,19.11,0.00,45.00,45.47,182452.49,0.27,-0.01,0.03,0.96,0.41,4447556.95,4506873.21,0.04,22.35,0.00,34.37,33.97,14318.65,0.21,0.00,0.00
90,10,10,100,50,5268.00,29.00,1.00,0.32,6039791.31,6080196.21,0.03,19.28,0.00,45.79,46.07,190772.22,0.28,-0.01,0.03,1.00,0.42,4596239.68,4627653.82,0.04,23.41,0.00,34.79,35.05,14429.73,0.21,0.00,0.00
91,10,10,100,50,4637.00,29.79,0.99,0.32,8938162.62,8680528.76,0.03,18.58,0.00,65.92,68.73,180525.70,0.26,0.11,0.03,0.97,0.40,6803739.49,6821573.27,0.06,22.75,0.00,50.38,52.00,37703.14,0.26,0.09,0.05
92,10,10,100,50,4846.00,30.00,1.00,0.32,9044962.45,9108012.72,0.03,19.33,0.00,68.76,69.24,182309.09,0.27,0.12,0.03,1.00,0.42,6883805.05,6932606.74,0.06,23.38,0.00,52.24,52.63,38790.54,0.27,0.09,0.05
93,10,10,100,50,5161.13,26.77,0.99,0.32,11568516.20,11525943.75,0.03,18.74,0.00,88.55,90.82,151722.73,0.27,0.11,0.03,0.99,0.41,8893060.13,9151029.31,0.04,22.89,0.00,69.56,67.90,59091.27,0.27,0.06,0.00
